row__PRDLST_REPORT_NO,row__LCNS_NO,row__PRDLST_NM,row__BSSH_NM,row__PRDLST_DCNM,row__RAWMTRL_NM,
20190280077706,20190280077,1-18세트C(잇마플),(주)잇마플,즉석섭취식품,양파. 즉석섭취식품. 돼지고기. 새송이버섯. 알가열제품. 홍피망. 청피망. 냉동당근. 토마토케첩. 소스. 냉동파. 소스. 소스. 기타 농산가공품. 천연향신료,
20190280077564,20190280077,1-19세트A(잇마플),(주)잇마플,즉석섭취식품,즉석조리식품. 알가열제품. 즉석섭취식품. 김치. 조림류. 토마토케첩. 천연향신료. 기타 농산가공품,
20190280077565,20190280077,1-19세트B(잇마플),(주)잇마플,즉석섭취식품,천연향신료. 토마토케첩. 즉석조리식품. 즉석섭취식품. 알가열제품,
20190280077541,20190280077,1-19세트c(잇마플),(주)잇마플,즉석섭취식품,꽈리고추. 부추. 설탕. 혼합간장. 냉동파. 묵류. 양파. 양배추. 오이. 알가열제품. 소스. 당근. 정제수. 즉석섭취식품. 기타 수산물가공품. 고춧가루. 참기름. 고추장. 마늘. 기타 농산가공품. 천연향신료. 발효식초. 다시마. 천연향신료,
20190280077735,20190280077,1-1세트A(잇마플),(주)잇마플,즉석섭취식품,즉석섭취식품. 기타 어육가공품. 김치. 기타가공품. 절임식품. 조림류. 토마토케첩. 천연향신료. 기타 농산가공품,
20190280077738,20190280077,1-1세트B(잇마플),(주)잇마플,즉석섭취식품,즉석섭취식품. 절임식품. 닭가슴살. 소시지. 냉동당근. 양배추. 양파. 소스. 냉동브로콜리. 당근. 떡류. 토마토케첩. 혼합간장. 설탕. 기타 농산가공품. 천연향신료,
20190280077739,20190280077,1-1세트C(잇마플),(주)잇마플,즉석섭취식품,냉동브로콜리. 떡류. 소스. 양파. 소시지. 닭가슴살. 즉석섭취식품. 절임식품. 냉동당근. 양배추. 당근. 토마토케첩. 혼합간장. 설탕. 기타 농산가공품. 천연향신료,
20190280077710,20190280077,1-2세트A(잇마플),(주)잇마플,즉석섭취식품,기타 농산가공품. 천연향신료. 소스. 설탕. 천연향신료. 소스. 소스. 냉동양파. 냉동당근. 양배추. 돼지고기. 절임식품. 기타 어육가공품. 즉석섭취식품,
20190280077709,20190280077,1-2세트B(잇마플),(주)잇마플,즉석섭취식품,참기름. 고춧가루. 기타 농산가공품. 대파. 소스. 소스. 브로콜리. 연근. 절임식품. 소시지. 분쇄가공육제품,
20190280077708,20190280077,1-2세트C(잇마플),(주)잇마플,즉석섭취식품,기타 농산가공품. 참기름. 천연향신료. 양파. 프레스햄. 염장미역줄기. 돼지고기. 어묵. 조림류. 양배추. 냉동브로콜리. 소스. 냉동파. 정제수. 토마토케첩. 천연향신료. 당근. 김치. 물엿. 설탕. 고춧가루. 혼합간장,
20190280077598,20190280077,1-3세트A(잇마플),(주)잇마플,즉석섭취식품,양배추. 절임식품. 양념육. 김치. 조림류. 소시지. 조림류. 양파. 토마토케첩,
20190280077544,20190280077,1-3세트B(잇마플),(주)잇마플,즉석섭취식품,고춧가루. 분쇄가공육제품. 즉석섭취식품. 콩나물. 즉석조리식품. 소스. 콩기름(대두유). 냉동파. 혼합간장. 올리고당. 천연향신료. 참기름. 기타 농산가공품. 고추장,
20190280077542,20190280077,1-3세트c(잇마플),(주)잇마플,즉석섭취식품,분쇄가공육제품. 즉석조리식품. 콩나물. 즉석섭취식품. 소스. 콩기름(대두유). 냉동파. 혼합간장. 올리고당. 고춧가루. 고추장. 기타 농산가공품. 참기름. 천연향신료,
20190280077732,20190280077,1-4세트A(잇마플),(주)잇마플,즉석섭취식품,천연향신료. 기타 농산가공품. 토마토케첩. 소스. 기타 수산물가공품. 김치. 조림류. 즉석섭취식품. 알가열제품,
20190280077521,20190280077,1-4세트B(잇마플),(주)잇마플,즉석섭취식품,알가열제품. 즉석섭취식품. 분쇄가공육제품. 당면. 과.채가공품. 소스. 소스. 냉동당근. 청피망. 천연향신료,
20190280077543,20190280077,1-4세트C(잇마플),(주)잇마플,즉석섭취식품,기타 농산가공품. 혼합간장. 천연향신료. 참기름. 표고버섯. 냉동큰느타리버섯. 냉동파. 냉동당근. 양배추. 소스. 분쇄가공육제품. 김치. 유채. 소고기. 냉동양파,
20190280077726,20190280077,1-5세트A(잇마플),(주)잇마플,즉석섭취식품,양배추. 양파. 조림류. 즉석섭취식품. 양념육. 김치. 조림류,
20190280077725,20190280077,1-5세트B(잇마플),(주)잇마플,즉석섭취식품,분쇄가공육제품. 즉석섭취식품. 돼지고기. 양배추. 김치. 냉동양파. 냉동파. 콩기름(대두유). 소스. 천연향신료,
20190280077724,20190280077,1-5세트C(잇마플),(주)잇마플,즉석섭취식품,돼지고기. 분쇄가공육제품. 즉석섭취식품. 양배추. 김치. 양파. 냉동파. 소스. 콩기름(대두유). 천연향신료,
20190280077609,20190280077,1-6세트A(잇마플),(주)잇마플,즉석섭취식품,기타 농산가공품. 토마토케첩. 양파. 양배추. 조림류. 양념육. 김치. 조림류. 소시지,
20190280077524,20190280077,1-6세트B(잇마플),(주)잇마플,즉석섭취식품,양파. 당근. 양배추. 곡류가공품. 돼지고기. 절임식품. 분쇄가공육제품. 냉동양파. 소스. 소스. 냉동파,
20190280077536,20190280077,1-6세트C(잇마플),(주)잇마플,즉석섭취식품,돼지고기. 기타가공품. 오이. 조림류. 양파. 당근. 피망. 부추. 카레. 설탕. 혼합간장. 고추장. 참기름. 고춧가루. 천연향신료. 발효식초. 기타 농산가공품. 정제소금. 복합조미식품. 천연향신료,
20190280077731,20190280077,1-7세트A(잇마플),(주)잇마플,즉석섭취식품,어묵. 조림류. 조림류. 양념육. 즉석섭취식품. 절임식품. 양배추. 양파. 소스,
20190280077730,20190280077,1-7세트B(잇마플),(주)잇마플,즉석섭취식품,즉석섭취식품. 닭가슴살. 절임식품. 염장미역줄기. 당근. 양배추. 떡류. 양파. 소스. 천연향신료. 혼합간장. 기타 농산가공품. 참기름. 정제소금. 천연향신료,
20190280077729,20190280077,1-7세트C(잇마플),(주)잇마플,즉석섭취식품,닭가슴살. 즉석섭취식품. 절임식품. 염장미역줄기. 당근. 양배추. 떡류. 소스. 양파. 천연향신료. 혼합간장. 기타 농산가공품. 참기름. 정제소금. 천연향신료,
20190280077712,20190280077,1-8세트B(잇마플),(주)잇마플,즉석섭취식품,양배추. 곡류가공품. 돼지고기. 기타가공품. 소스. 냉동양파. 냉동파. 기타 농산가공품. 양파. 당근,
