row__PRDLST_REPORT_NO,row__LCNS_NO,row__PRDLST_NM,row__BSSH_NM,row__PRDLST_DCNM,row__RAWMTRL_NM,
1990035514478,19900355144,15곡검정깨미숫가루,오성식품,곡류가공품,현미찹쌀. 율무. 흑미. 수수. 메밀. 보리. 쌀. 밀. 대두. 현미. 옥수수. 검정깨(흑임자). 검정콩. 찹쌀. 기장. 조,
20160311198185,20160311198,15곡곡류발효효소,주식회사 굿모닝효소,효소식품,효소식품. 효소식품. 효소식품. 효소식품,
20190387777328,20190387777,15곡곡류발효효소분말,와이즈웨이,효소식품,기타가공품. 효소식품. 효소식품. 곡류가공품,
19940607230354,19940607230,15곡곡류혼합분말,(주)신광식품,곡류가공품,보리. 현미. 대두. 찹쌀. 율무. 수수. 기장. 흑미. 밀. 차조. 옥수수. 메밀,
20130368349285,20130368349,15곡곡류혼합분말SNF,주식회사소울네이처푸드,곡류가공품,현미분태. 분리대두단백. 기타 농산가공품. 곡류가공품,
2000021441248,20000214412,15곡곡류효소,코리아바이오텍,효소식품,현미. 보리쌀. 현미찹쌀. 찰보리. 흑미. 검정콩. 백태. 찰흑미. 찹쌀. 팥. 율무쌀. 수수. 기장쌀. 차조. 늘보리. Aspergillus oryzae,
20070372022151,20070372022,15곡곡류효소,숭인내추럴팜 주식회사,효소식품,황국균. 율무. 팥. 검정콩. 차조. 수수. 늘보리. 찰흑미. 찰보리. 기장. 찰현미. 찹쌀. 흑미. 백태. 보리쌀. 현미,
20160311198184,20160311198,15곡곡류효소복합엔자임,주식회사 굿모닝효소,효소식품,효소식품. 효소식품. 효소식품. 효소식품. 볶은콩가루,
2016031119851,20160311198,15곡곡류효소분말,주식회사 굿모닝효소,효소식품,발아현미. 백태. Aspergillus oryzae. 찹쌀. 메밀. 율무쌀. 옥수수. 귀리. 수수. 차조. 팥. 검정콩. 통밀. 보리. 발아흑미. 약콩,
2016031119857,20160311198,15곡곡류효소분말,주식회사 굿모닝효소,효소식품,현미. 백태. 보리. 검정콩. 멥쌀. 흑미. 약콩. 통밀. 찹쌀. 팥. 차조. 수수. 귀리. 옥수수. 율무쌀. Aspergillus oryzae,
20110449015303,20110449015,15곡곡류효소분말,주식회사오투바이오,곡류가공품,곡류효소,
20160311198120,20160311198,15곡곡류효소분말 프리미엄,주식회사 굿모닝효소,효소식품,효소식품. 효소식품. 효소식품. 효소식품,
20160311198155,20160311198,15곡곡류효소분말3025,주식회사 굿모닝효소,효소식품,효소식품. 효소식품. 효소식품. 효소식품,
20160311198197,20160311198,15곡곡류효소분말402,주식회사 굿모닝효소,효소식품,효소식품. 효소식품. 효소식품. 효소식품,
20160311198161,20160311198,15곡곡류효소분말5015,주식회사 굿모닝효소,효소식품,효소식품. 효소식품. 효소식품. 효소식품,
2016031119855,20160311198,15곡곡물효소분말,주식회사 굿모닝효소,효소식품,현미. 백태. 멥쌀. 흑미. 보리. 통밀. 검정콩. Aspergillus oryzae. 찹쌀. 메밀. 율무쌀. 옥수수. 귀리. 수수. 차조. 팥,
20010395066139,20010395066,15곡그대로 참마밀,(주)엔-초이스,즉석섭취식품,포도당. 정제소금. 비피더스균. 옥수수전분. 마. 즉석섭취식품. 곡류가공품. 알파미분. 기타가공품. 식물성크림,
2001039506686,20010395066,15곡들어간 건강참마밀 프리미엄,(주)엔-초이스,즉석섭취식품,렌즈콩. 정제소금. 포도당. 땅콩가공분. 식물성크림혼합분말. 옥수수전분. 맥아. 검정콩. 차조. 들깨. 검정깨(흑임자). 수수. 찹쌀. 현미. 옥수수. 대두. 쌀보리. 멥쌀. 유산균. 마. 흑미. 알파미분,
20130358208501,20130358208,15곡류 유기농현미효소,주식회사 수내츄럴,효소식품,곡류가공품. 찰현미. 곡류가공품. 종국,
2013006355041,20130063550,15곡류발효효소,(주)바이오션 은평공장,기타가공품,율무씨. 검정콩. 팥. 백태. 보리쌀. 차조. 늘보리. 찰보리. 흑미찹쌀. 수수. 흑미. 기장. 현미. 찰현미. 찹쌀. 유산균,
20070372022229,20070372022,15곡류효소분말,숭인내추럴팜 주식회사,효소식품,식품첨가물. 분리대두단백. Aspergillus oryzae. 율무쌀. 팥. 검정콩. 백태. 보리쌀. 혼합제제. 혼합제제. 차조. 늘보리. 찰보리. 찰흑미. 수수. 흑미. 기장쌀. 현미. 찰현미. 찹쌀. 효소식품,
20130358208453,20130358208,15곡류효소분말,주식회사 수내츄럴,효소식품,찹쌀분말. 프로테아제. 분리대두분말. 찰현미. α-아밀라아제. 곡류가공품. 종국,
20010395066155,20010395066,15곡마죽 건강선식,(주)엔-초이스,즉석섭취식품,알파미분. 곡류가공품. 마. 알파옥수수전분. 식물성크림. 기타가공품. 포도당. 정제소금. 즉석섭취식품,
2005035819456,20050358194,15곡물 미숫가루,(주)에버헬스케어 농업회사법인,즉석섭취식품,당근. 참깨. 땅콩. 율무. 흑미. 기장. 검정콩. 조. 수수. 현미. 찹쌀. 통밀. 옥수수. 백태. 쌀,
20110345039375,20110345039,15곡물 쉐이크,그린원푸드,곡류가공품,귀리. 찰보리. 찰현미. 찰흑미. 찹쌀. 현미. 납작보리. 백태. 검정콩. 보리. 통밀. 팥. 과.채가공품. 찰수수. 청차조. 기장쌀. 정제소금. 스테비아추출물,
2000023306634,20000233066,15곡물쫀D기,(주)놀부명과,과자,마가린. 식용색소황색제5호알루미늄레이크. D-소르비톨액. 포도당. 밀가루. 설탕. 옥수수가루. 호박가루. 곡물혼합분말. 정제소금,
2019037229410,20190372294,15곡물쫀드기,동심제과,과자,밀가루. 설탕. 호박가루. 정제소금. D-소르비톨액. 마가린. 프리믹스. 올리고당,
1991035501396,19910355013,15곡물혼합분말,한중식품,곡류가공품,멥쌀. 보리. 현미. 대두. 찹쌀. 옥수수. 통밀. 차조. 들깨. 볶은율무. 흑미. 찰보리. 귀리. 찰흑미. 찰현미,
20050358194246,20050358194,15곡미숫가루,(주)에버헬스케어 농업회사법인,즉석섭취식품,율무. 기장. 조. 수수. 찹쌀. 현미. 옥수수. 보리. 대두. 밤. 당근. 땅콩. 검정콩. 흑미. 쌀. 알파미분,
200501813189,20050181318,15곡미숫가루,삼령식품,기타가공품,시금치. 쑥. 지정. 들깨. 흰깨. 조. 참깨. 율무. 수수. 검정깨(흑임자). 검정콩. 밀. 옥수수. 흰콩. 현미. 찹쌀. 쌀. 보리,
1990035514488,19900355144,15곡미숫가루,오성식품,곡류가공품,설탕. 메밀. 수수. 흑미. 율무. 현미찹쌀. 조. 기장. 찹쌀. 검정콩. 옥수수. 현미. 대두. 밀. 쌀. 보리,
1990035514450,19900355144,15곡미숫가루,오성식품,곡류가공품,현찰. 율무. 흑미. 검정콩. 수수. 메밀. 보리. 대두. 쌀. 밀. 현미. 옥수수. 찹쌀. 기장. 조,
19920355108582,19920355108,15곡믹스분말,태광푸드(주),곡류가공품,현미. 보리. 멥쌀. 보리쌀. 현미찹쌀. 흑미. 차조. 옥수수. 쌀눈. 찹쌀. 기장쌀. 발아현미. 수수. 참깨. 검정깨(흑임자),
2018049425710,20180494257,15곡믹스분말,청아영농조합법인,곡류가공품,찰보리. 쌀. 보리. 현미. 현미찹쌀. 흑미. 차조. 옥수수. 볶은현미쌀배아. 찹쌀. 찰기장. 발아현미. 수수. 참깨. 검정깨(흑임자),
20100182300146,20100182300,15곡발효동결건조분말,(주)케이엠에프,효소식품,곡류가공품. 기타가공품,
