row__PRDLST_REPORT_NO,row__LCNS_NO,row__PRDLST_NM,row__BSSH_NM,row__PRDLST_DCNM,row__RAWMTRL_NM,,,,,,
2013056400169,20130564001,'얼린' 에이비씨주스 사과&비트&당근,(주)우양 청송공장,과.채주스,사과주스. 당근주스. 레드비트주스,,,,,,
20190477339990,20190477339,'얼린' 코코넛밀크,건강한사람들 주식회사,과.채음료,과.채가공품,,,,,,
2013056400179,20130564001,'얼린' 패션프루츠주스,(주)우양 청송공장,과.채주스,과채주스,,,,,,
2013056400172,20130564001,'얼린' 폰칸주스,(주)우양 청송공장,과.채주스,과채주스,,,,,,
2013056400162,20130564001,'얼린'코코넛밀크,(주)우양 청송공장,과.채음료,과채가공품,,,,,,
2007050101425,20070501014,'정깊은' 오디죽염 청국장,삼보식품 주식회사,청국장,백태. 죽염. 오디분말,,,,,,
201504612251276,20150461225,(11종)베리믹스파우더,해찬솔푸드,과.채가공품,블루베리농축분말. 과.채가공품. 과.채가공품. 과.채가공품. 과.채가공품. 라즈베리농축분말. 과.채가공품. 과.채가공품. 아로니아농축분말. 과.채가공품. 과.채가공품,,,,,,
20150461225962,20150461225,(11종)식물혼합추출분말,해찬솔푸드,기타가공품,식물혼합추출액. 덱스트린,,,,,,
20150461225963,20150461225,(13종)식물혼합추출분말,해찬솔푸드,기타가공품,덱스트린. 식물혼합추출액,,,,,,
201504612251064,20150461225,(14종)식물혼합농축액,해찬솔푸드,기타가공품,식물혼합추출액. 올리고당,,,,,,
201504612251055,20150461225,(14종)식물혼합추출액,해찬솔푸드,기타가공품,쇠무릅뿌리. 천궁뿌리줄기. 참당귀뿌리. 대추. 황기뿌리. 지황뿌리. 건조감귤껍질. 맥아. 가시오갈피줄기. 겨우살이가지. 건생강. 감초. 잇꽃씨앗. 건조박하잎. 정제수,,,,,,
201504612251206,20150461225,(15종)식물혼합농축액H(BRIX:65),해찬솔푸드,기타가공품,물엿. 식물혼합추출액,,,,,,
201504612251195,20150461225,(32종)식물혼합추출분말,해찬솔푸드,기타가공품,덱스트린. 식물혼합추출물,,,,,,
201504612251023,20150461225,(32종)식물혼합추출액(고형분:4%이상),해찬솔푸드,기타가공품,영지버섯. 사철쑥. 잇꽃씨앗. 대추. 건조감귤껍질. 맥아. 구절초. 칡뿌리. 가시오갈피줄기. 서양박하잎. 사인씨앗. 서양산사자열매. 지황. 감초. 복령균핵. 계피. 황기. 천궁뿌리줄기. 작약뿌리. 참당귀뿌리. 동출뿌리줄기. 곰솔잎. 건조캐모마일. 두충. 쇠무릅뿌리. 모과. 오미자열매. 복분자. 생강. 겨우살이. 보스웰리아검레진. 녹용. 정제수,,,,,,
201504612251160,20150461225,(4종)식물혼합추출분말,해찬솔푸드,기타가공품,식물혼합추출물. 덱스트린,,,,,,
201504612251178,20150461225,(5종)식물혼합추출분말H,해찬솔푸드,기타가공품,식물혼합추출액. 덱스트린,,,,,,
19900364031708,19900364031,(91컴퍼니)디트로이트 피자도우,그린식품(주),빵류,혼합식용유. 식물성크림. 효모. 밀가루. 설탕. 정제수. 혼합제제. 정제소금,,,,,,
